"title","stars","text"
"Pizza Hut - Union Place","1","I'm a regular customer at pizza hut.. I'm very ashamed to say that.. when I being to mawanella pizza hut branch this week (16.05.2023) for dinner with my wife. I wasn't a happy customer as before What I would like to inform you that.. their charge me over  300 ruppes or more then that for the service, which I'm not willing to pay off why the reason is I don't find any good customer service or any other services at mawanella pizza hut.. the air conditioning was turned off, even the staff at the front desk who takes the orders he was not able to explain the menu and the offers which was available by that time, the hand washing aria was not clean probably, there was no tissue available by sing or by the dinner table, they were not even offer me classe of water while we were having our meal I had to ask my self.. if you guys expecting us to pay the service charges you must be provided all good services as we expect otherwise you should ask the guest whether you willing to pay the service charges or not.. I paid the service charges for no any good reasonable reason..😡"
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","3","Average level of service. Level of standard of this outlet has got declined over the time, compared with early days, when John Keells started their very first outlet here."
"Pizza Hut - Union Place","5","All is good"
"Pizza Hut - Union Place","4","It was dine in. Taste was good"
"Pizza Hut - Union Place","3","Cannot handle orders in busy situations. No caring staff. Worst Pizza hut experience ever."
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","Nice experience"
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","4","Place needs TLC."
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","3",
"Pizza Hut - Union Place","3","Food was good, service was very low + charge is too high as nobody was very attentive, atmosphere manageable."
"Pizza Hut - Union Place","5","Had a great experience here. The only complaint is the washrooms. They are far away from the restaurant. Other than that food, staff and everything is great."
"Pizza Hut - Union Place","2","It's a good place and the staff is friendly. I tried the BBQ chicken and Margherita pizza. For the those who don't like spices watch out for your taste buds."
"Pizza Hut - Union Place","1",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","Pizza hut in sri lanka is way nicer than in my hometown 😋"
"Pizza Hut - Union Place","5","Good service..Friendly staff"
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","4","The staff were friendly and the food was good but the bathroom is so dirty."
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","4",
"Pizza Hut - Union Place","5",
"Pizza Hut - Union Place","5","Take away....quick service...good staff"
"Pizza Hut - Union Place","5",
